"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,6,18,-0.525314743033093,0.12
6,2,0.3,0.3,0.3,6,18,-0.471951729465552,0.123333333333333
6,2,0,0.3,0.3,8,18,0.0739050532040125,0.753333333333333
6,2,0.3,0.3,0.3,8,18,-0.472446791792707,0.11
6,2,0,0.3,0.3,10,18,-0.0779988037513947,0.733333333333333
6,2,0.3,0.3,0.3,10,18,-0.341704888772554,0.143333333333333
6,2,0,0.3,0.3,12,18,0.211360179590746,0.303333333333333
6,2,0.3,0.3,0.3,12,18,-0.288926492587885,0.126666666666667
6,2,0,0.3,0.3,14,18,-0.222016922482361,0.25
6,2,0.3,0.3,0.3,14,18,-0.314735311208903,0.123333333333333
6,2,0,0.3,0.3,16,18,-0.0485833844423032,0.766666666666667
6,2,0.3,0.3,0.3,16,18,-0.546596409285705,0.00666666666666667
6,2,0,0.3,0.3,6,19,-0.787953724583169,0.03
6,2,0.3,0.3,0.3,6,19,-0.581174529845748,0.113333333333333
6,2,0,0.3,0.3,8,19,-0.290473026031463,0.27
6,2,0.3,0.3,0.3,8,19,-0.411669701384745,0.123333333333333
6,2,0,0.3,0.3,10,19,0.225519389582128,0.316666666666667
6,2,0.3,0.3,0.3,10,19,-0.410597483648331,0.0933333333333333
6,2,0,0.3,0.3,12,19,-0.134678311593833,0.493333333333333
6,2,0.3,0.3,0.3,12,19,-0.368613300115102,0.08
6,2,0,0.3,0.3,14,19,0.0331166870188709,0.86
6,2,0.3,0.3,0.3,14,19,-0.203503584194882,0.356666666666667
6,2,0,0.3,0.3,16,19,0.0301223745477377,0.89
6,2,0.3,0.3,0.3,16,19,-0.200022834210456,0.266666666666667
6,2,0,0.3,0.3,6,20,0.177434352154549,0.6
6,2,0.3,0.3,0.3,6,20,-0.604428799808373,0.0666666666666667
6,2,0,0.3,0.3,8,20,0.194040594170415,0.506666666666667
6,2,0.3,0.3,0.3,8,20,-0.565540889953505,0.0233333333333333
6,2,0,0.3,0.3,10,20,0.239313031393195,0.266666666666667
6,2,0.3,0.3,0.3,10,20,-0.409278637226452,0.0866666666666667
6,2,0,0.3,0.3,12,20,-0.0305102295219661,0.903333333333333
6,2,0.3,0.3,0.3,12,20,0.109185824937443,0.636666666666667
6,2,0,0.3,0.3,14,20,0.151938213870127,0.393333333333333
6,2,0.3,0.3,0.3,14,20,-0.0768321563334711,0.66
6,2,0,0.3,0.3,16,20,0.159849631044904,0.42
6,2,0.3,0.3,0.3,16,20,-0.43125086135845,0.0333333333333333
6,2,0,0.3,0.3,6,21,0.708850559765936,0.01
6,2,0.3,0.3,0.3,6,21,-0.332698437674214,0.306666666666667
6,2,0,0.3,0.3,8,21,0.398702454880962,0.13
6,2,0.3,0.3,0.3,8,21,-0.290665519785561,0.266666666666667
6,2,0,0.3,0.3,10,21,-0.11644530740782,0.626666666666667
6,2,0.3,0.3,0.3,10,21,-0.286811096830274,0.24
6,2,0,0.3,0.3,12,21,-0.410426652601815,0.05
6,2,0.3,0.3,0.3,12,21,-0.354908163199601,0.143333333333333
6,2,0,0.3,0.3,14,21,-0.19108169049202,0.34
6,2,0.3,0.3,0.3,14,21,0.0497275326648912,0.79
6,2,0,0.3,0.3,16,21,-0.335218202707449,0.09
6,2,0.3,0.3,0.3,16,21,-0.574048102486418,0
6,2,0,0.3,0.3,6,22,-0.263430287456948,0.413333333333333
6,2,0.3,0.3,0.3,6,22,-0.46300613522775,0.16
6,2,0,0.3,0.3,8,22,0.206080697322725,0.396666666666667
6,2,0.3,0.3,0.3,8,22,-0.0946720740077691,0.736666666666667
6,2,0,0.3,0.3,10,22,0.150184367705281,0.526666666666667
6,2,0.3,0.3,0.3,10,22,-0.464565896478273,0.0433333333333333
6,2,0,0.3,0.3,12,22,-0.184639943521669,0.36
6,2,0.3,0.3,0.3,12,22,-0.184002598049326,0.366666666666667
6,2,0,0.3,0.3,14,22,-0.167134146816646,0.443333333333333
6,2,0.3,0.3,0.3,14,22,-0.226144230944536,0.25
6,2,0,0.3,0.3,16,22,-0.453900182186158,0.01
6,2,0.3,0.3,0.3,16,22,-0.278853950266999,0.156666666666667
6,2,0,0.3,0.3,6,23,0.235103749247542,0.506666666666667
6,2,0.3,0.3,0.3,6,23,-1.07816612498834,0
