"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,40,14,0.2123924433448,0.0766666666666667
6,2,0.3,0.3,0.3,40,14,-0.225987054263278,0.0533333333333333
6,2,0,0.3,0.3,10,15,0.398551699034878,0.09
6,2,0.3,0.3,0.3,10,15,0.0414459252390214,0.85
6,2,0,0.3,0.3,15,15,0.156094760408894,0.42
6,2,0.3,0.3,0.3,15,15,-0.163667515342778,0.366666666666667
6,2,0,0.3,0.3,20,15,-0.0540098996386734,0.753333333333333
6,2,0.3,0.3,0.3,20,15,-0.279711699192735,0.1
6,2,0,0.3,0.3,25,15,-0.0360151576732007,0.793333333333333
6,2,0.3,0.3,0.3,25,15,-0.564117880987584,0
6,2,0,0.3,0.3,30,15,0.118942814914404,0.39
6,2,0.3,0.3,0.3,30,15,-0.105285752231894,0.41
6,2,0,0.3,0.3,35,15,-0.26603280457605,0.0366666666666667
6,2,0.3,0.3,0.3,35,15,-0.464706141673814,0
6,2,0,0.3,0.3,40,15,0.0750857220934531,0.516666666666667
6,2,0.3,0.3,0.3,40,15,-0.084054443237326,0.46
6,2,0,0.3,0.3,10,16,0.39421603635552,0.123333333333333
6,2,0.3,0.3,0.3,10,16,-0.358643131499611,0.14
6,2,0,0.3,0.3,15,16,-0.0647406338488583,0.756666666666667
6,2,0.3,0.3,0.3,15,16,-0.420873349223147,0.0233333333333333
6,2,0,0.3,0.3,20,16,-0.0934760076916943,0.563333333333333
6,2,0.3,0.3,0.3,20,16,-0.301211663033551,0.0566666666666667
6,2,0,0.3,0.3,25,16,-0.267700656034461,0.0633333333333333
6,2,0.3,0.3,0.3,25,16,-0.340484976311701,0.0333333333333333
6,2,0,0.3,0.3,30,16,-0.0478394704398436,0.746666666666667
6,2,0.3,0.3,0.3,30,16,-0.251182289809854,0.0433333333333333
6,2,0,0.3,0.3,35,16,-0.105310292236351,0.393333333333333
6,2,0.3,0.3,0.3,35,16,-0.142162804705241,0.246666666666667
6,2,0,0.3,0.3,40,16,-0.280073838916448,0.00333333333333333
6,2,0.3,0.3,0.3,40,16,-0.144492672723698,0.21
