"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,421,10,0,0.3,6,3,0.790514150606811,0.25
6,2,0.2,308,10,0,0.3,6,3,-0.433516294005585,0.252
6,2,0.2,30,10,0,0.3,6,3,0.457497083909203,0.26
6,2,0.2,122,10,0,0.3,6,3,-0.453897570071007,0.26
6,2,0.2,446,10,0,0.3,6,3,-0.488137488418289,0.262
6,2,0.2,116,10,0,0.3,6,3,0.361012897943539,0.266
6,2,0.2,160,10,0,0.3,6,3,0.580189908781051,0.266
6,2,0.2,304,10,0,0.3,6,3,-0.630967664988361,0.266
6,2,0.2,48,10,0,0.3,6,3,0.767137830394915,0.268
6,2,0.2,423,10,0,0.3,6,3,0.720686037842938,0.27
6,2,0.2,472,10,0,0.3,6,3,-0.910376332021627,0.27
6,2,0.2,17,10,0,0.3,6,3,-1.10374499551986,0.272
6,2,0.2,408,10,0,0.3,6,3,0.654015466597201,0.272
6,2,0.2,253,10,0,0.3,6,3,0.604147380764829,0.274
6,2,0.2,348,10,0,0.3,6,3,-1.22360782614371,0.274
6,2,0.2,374,10,0,0.3,6,3,-0.963908299965738,0.276
6,2,0.2,438,10,0,0.3,6,3,0.582058585788275,0.276
6,2,0.2,251,10,0,0.3,6,3,-0.754668412780234,0.278
6,2,0.2,322,10,0,0.3,6,3,-0.449002639525844,0.278
6,2,0.2,175,10,0,0.3,6,3,0.961217565038709,0.28
6,2,0.2,486,10,0,0.3,6,3,0.713727483692111,0.284
6,2,0.2,20,10,0,0.3,6,3,0.430436835610777,0.288
6,2,0.2,297,10,0,0.3,6,3,-0.85512141326106,0.29
6,2,0.2,246,10,0,0.3,6,3,1.56080964704904,0.292
6,2,0.2,272,10,0,0.3,6,3,-0.864978951813214,0.296
6,2,0.2,324,10,0,0.3,6,3,0.810702980068868,0.296
6,2,0.2,402,10,0,0.3,6,3,0.490254104637756,0.296
6,2,0.2,206,10,0,0.3,6,3,0.9466958895365,0.298
6,2,0.2,209,10,0,0.3,6,3,-0.602055112153209,0.298
6,2,0.2,101,10,0,0.3,6,3,0.843691174624098,0.3
6,2,0.2,180,10,0,0.3,6,3,0.34095876093005,0.3
6,2,0.2,16,10,0,0.3,6,3,0.80652309444767,0.302
6,2,0.2,277,10,0,0.3,6,3,0.42720473883827,0.304
6,2,0.2,219,10,0,0.3,6,3,-0.605571986494283,0.306
6,2,0.2,430,10,0,0.3,6,3,-0.460100461009404,0.306
6,2,0.2,346,10,0,0.3,6,3,0.615588999296875,0.308
6,2,0.2,156,10,0,0.3,6,3,-0.965707268884586,0.31
6,2,0.2,155,10,0,0.3,6,3,-0.878669726599924,0.312
6,2,0.2,312,10,0,0.3,6,3,0.393404548669423,0.312
6,2,0.2,194,10,0,0.3,6,3,-0.563938822599965,0.318
6,2,0.2,410,10,0,0.3,6,3,0.305655996453339,0.322
6,2,0.2,394,10,0,0.3,6,3,-0.635489868912344,0.328
6,2,0.2,445,10,0,0.3,6,3,-0.814333852685309,0.33
6,2,0.2,107,10,0,0.3,6,3,0.798188768138886,0.332
6,2,0.2,397,10,0,0.3,6,3,1.10478336806301,0.336
6,2,0.2,307,10,0,0.3,6,3,0.428303782300759,0.34
6,2,0.2,37,10,0,0.3,6,3,0.486011221721213,0.352
6,2,0.2,296,10,0,0.3,6,3,-0.767979280118595,0.352
6,2,0.2,417,10,0,0.3,6,3,-0.578917929324859,0.352
6,2,0.2,468,10,0,0.3,6,3,0.561356292264378,0.352
6,2,0.2,375,10,0,0.3,6,3,0.26006139568986,0.356
6,2,0.2,108,10,0,0.3,6,3,1.10075022531041,0.36
6,2,0.2,210,10,0,0.3,6,3,-0.789324176768446,0.36
6,2,0.2,480,10,0,0.3,6,3,0.487368373121399,0.366
6,2,0.2,334,10,0,0.3,6,3,-0.952811422826528,0.37
6,2,0.2,53,10,0,0.3,6,3,-0.419876512447445,0.372
6,2,0.2,459,10,0,0.3,6,3,1.03936074027902,0.374
6,2,0.2,347,10,0,0.3,6,3,-1.39617183333732,0.378
6,2,0.2,411,10,0,0.3,6,3,-0.550746245343845,0.378
6,2,0.2,95,10,0,0.3,6,3,0.298361335291276,0.384
6,2,0.2,152,10,0,0.3,6,3,0.600968753556259,0.388
6,2,0.2,47,10,0,0.3,6,3,0.18541641765114,0.392
6,2,0.2,10,10,0,0.3,6,3,0.953967676877653,0.396
6,2,0.2,86,10,0,0.3,6,3,-0.400819970291451,0.398
6,2,0.2,465,10,0,0.3,6,3,-1.03502255870745,0.41
6,2,0.2,190,10,0,0.3,6,3,0.414315264540278,0.414
6,2,0.2,256,10,0,0.3,6,3,-0.693184751929351,0.414
6,2,0.2,484,10,0,0.3,6,3,0.729325617759599,0.414
6,2,0.2,11,10,0,0.3,6,3,0.653656577195676,0.416
6,2,0.2,266,10,0,0.3,6,3,-0.836322034894607,0.416
6,2,0.2,418,10,0,0.3,6,3,-0.28779386879404,0.422
6,2,0.2,168,10,0,0.3,6,3,1.63683958524024,0.432
6,2,0.2,242,10,0,0.3,6,3,-1.25810558075827,0.436
6,2,0.2,62,10,0,0.3,6,3,0.267930115883644,0.438
6,2,0.2,103,10,0,0.3,6,3,-0.229232380972064,0.438
6,2,0.2,187,10,0,0.3,6,3,-0.549963386383439,0.438
6,2,0.2,276,10,0,0.3,6,3,0.575751645595631,0.438
6,2,0.2,436,10,0,0.3,6,3,1.08370462492817,0.438
6,2,0.2,440,10,0,0.3,6,3,-1.20463836249061,0.45
