"nGroupT","nGroupC","meanC","sdC","iteration","ef","rho","sampleSize","idSD","coef","boot_pval"
2,2,3.46,0.5,3,0,0.3,20,1,-0.432763634654066,0.195
2,2,3.46,0.5,1,0,0.3,20,0.5,-0.245574840298559,0.215
2,2,3.46,0.5,10,0,0.3,20,1,0.665872496183397,0.215
2,2,3.46,0.5,2,0,0.3,20,1,0.26314603491096,0.225
2,2,3.46,0.5,5,0,0.3,20,0.5,0.305472399524888,0.305
2,2,3.46,0.5,8,0,0.3,20,1,0.2268865522135,0.32
2,2,3.46,0.5,8,0,0.3,20,0.5,0.456809192467063,0.355
2,2,3.46,0.5,2,0,0.3,20,5,0.93693927205095,0.355
2,2,3.46,0.5,3,0,0.3,20,0.5,0.20405248081795,0.435
2,2,3.46,0.5,10,0,0.3,20,5,0.50581527458769,0.47
2,2,3.46,0.5,9,0,0.3,20,0.5,0.134967074257929,0.495
2,2,3.46,0.5,4,0,0.3,20,0.5,0.215515656454841,0.52
2,2,3.46,0.5,3,0,0.3,20,5,-1.9022254810767,0.535
2,2,3.46,0.5,6,0,0.3,20,0.5,0.332395623302659,0.595
2,2,3.46,0.5,4,0,0.3,20,1,0.438023315071064,0.635
2,2,3.46,0.5,2,0,0.3,20,0.5,-0.113760668413079,0.655
2,2,3.46,0.5,7,0,0.3,20,1,0.336539833316465,0.675
2,2,3.46,0.5,10,0,0.3,20,0.5,0.102368821976825,0.715
2,2,3.46,0.5,1,0,0.3,20,5,0.36706242706407,0.735
2,2,3.46,0.5,1,0,0.3,20,1,-0.0852931209537928,0.79
2,2,3.46,0.5,9,0,0.3,20,1,-0.0421727395544167,0.88
2,2,3.46,0.5,7,0,0.3,20,5,-0.313635770293217,0.89
2,2,3.46,0.5,5,0,0.3,20,5,0.0790367898891873,0.94
2,2,3.46,0.5,6,0,0.3,25,0.5,0.256927806692715,0.035
2,2,3.46,0.5,2,0,0.3,25,1,0.785001646959586,0.035
2,2,3.46,0.5,4,0,0.3,25,1,0.934074347668911,0.05
2,2,3.46,0.5,10,0,0.3,25,1,0.788125872440105,0.055
2,2,3.46,0.5,2,0,0.3,25,0.5,-0.323822932645271,0.06
2,2,3.46,0.5,5,0,0.3,25,0.5,0.380825591426515,0.07
2,2,3.46,0.5,8,0,0.3,25,5,2.41521880885148,0.075
2,2,3.46,0.5,1,0,0.3,25,1,-0.780136136771944,0.135
2,2,3.46,0.5,3,0,0.3,25,1,-0.207584521288709,0.135
2,2,3.46,0.5,8,0,0.3,25,0.5,-0.358929718827312,0.19
2,2,3.46,0.5,6,0,0.3,25,1,-0.134754935600881,0.22
2,2,3.46,0.5,6,0,0.3,25,5,-1.38996555225572,0.325
2,2,3.46,0.5,4,0,0.3,25,5,-0.98240409039181,0.37
2,2,3.46,0.5,7,0,0.3,25,1,-0.687928931881061,0.41
2,2,3.46,0.5,5,0,0.3,25,5,1.4072800933518,0.42
2,2,3.46,0.5,9,0,0.3,25,0.5,-0.46879945510625,0.475
2,2,3.46,0.5,8,0,0.3,25,1,0.518117863406133,0.505
2,2,3.46,0.5,7,0,0.3,25,5,2.57500718223355,0.545
2,2,3.46,0.5,2,0,0.3,25,5,2.0292894856525,0.555
2,2,3.46,0.5,3,0,0.3,25,0.5,0.282102143674592,0.565
2,2,3.46,0.5,1,0,0.3,25,0.5,-0.137152685351566,0.57
2,2,3.46,0.5,3,0,0.3,25,5,-3.66282826138627,0.575
2,2,3.46,0.5,9,0,0.3,25,1,-0.457084785502843,0.69
2,2,3.46,0.5,5,0,0.3,25,1,-0.243257741326943,0.7
2,2,3.46,0.5,4,0,0.3,25,0.5,0.0618704330127002,0.78
2,2,3.46,0.5,9,0,0.3,25,5,-0.293319081957179,0.81
